primary_key,listing_id,listing_url,name,host_id,host_url,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,calculated_host_listings_count,reviews_per_month,date,available,price,adjusted_price
17,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/16/2023,t,$240.00 ,$240.00 
18,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/17/2023,t,$240.00 ,$240.00 
19,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/18/2023,t,$240.00 ,$240.00 
20,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/19/2023,t,$240.00 ,$240.00 
21,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/20/2023,t,$240.00 ,$240.00 
22,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/21/2023,t,$240.00 ,$240.00 
23,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/22/2023,t,$240.00 ,$240.00 
24,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/23/2023,t,$240.00 ,$240.00 
25,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/24/2023,t,$240.00 ,$240.00 
26,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/25/2023,t,$240.00 ,$240.00 
27,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/26/2023,t,$240.00 ,$240.00 
28,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/27/2023,t,$240.00 ,$240.00 
29,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/28/2023,t,$240.00 ,$240.00 
30,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/29/2023,t,$240.00 ,$240.00 
31,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/30/2023,t,$240.00 ,$240.00 
32,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/31/2023,t,$240.00 ,$240.00 
33,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,7/31/2023,f,$60.00 ,$60.00 
34,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/1/2023,f,$60.00 ,$60.00 
35,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/2/2023,f,$60.00 ,$60.00 
36,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/3/2023,f,$60.00 ,$60.00 
37,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/4/2023,f,$60.00 ,$60.00 
38,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/5/2023,f,$60.00 ,$60.00 
39,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/6/2023,f,$60.00 ,$60.00 
40,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/7/2023,f,$60.00 ,$60.00 
41,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/8/2023,f,$60.00 ,$60.00 
42,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/9/2023,f,$60.00 ,$60.00 
43,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/10/2023,f,$60.00 ,$60.00 
44,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/11/2023,f,$60.00 ,$60.00 
45,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/12/2023,f,$60.00 ,$60.00 
