id,listing_url,name,host_id,host_url,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,calculated_host_listings_count,reviews_per_month
103311,https://www.airbnb.com/rooms/103311,Boutique hotel in Brooklyn · ★4.17 · 2 bedrooms · 3 beds · 1 private bath,417504,https://www.airbnb.com/users/show/417504,The Box House Hotel,3/1/2011,t,30,40,40.73778,-73.95366,Private room,6,2,3,$608.00 ,1,365,t,9,0,0,6/20/2011,5/19/2018,4.17,30,0.06
53470,https://www.airbnb.com/rooms/53470,Rental unit in Queens · ★4.0 · 2 bedrooms · 3 beds · 1 bath,204539,https://www.airbnb.com/users/show/204539,Mark,8/17/2010,t,10,10,40.70422,-73.89778,Entire home/apt,7,2,3,$193.00 ,30,730,t,6,0,0,10/22/2011,10/8/2015,4,9,0.04
53477,https://www.airbnb.com/rooms/53477,Townhouse in Queens · ★4.71 · 4 bedrooms · 8 beds · 2 baths,204539,https://www.airbnb.com/users/show/204539,Mark,8/17/2010,t,10,10,40.71778,-73.87714,Entire home/apt,12,4,8,$350.00 ,30,730,t,16,0,0,5/15/2011,8/9/2019,4.71,9,0.11
173151,https://www.airbnb.com/rooms/173151,Rental unit in Brooklyn · ★4.81 · 1 bedroom · 1 bed · 1 private bath,826459,https://www.airbnb.com/users/show/826459,Jane,7/16/2011,f,1,2,40.72852,-73.95655,Private room,2,1,1,$78.00 ,30,31,t,262,0,0,8/1/2011,3/8/2020,4.81,1,1.82
54466,https://www.airbnb.com/rooms/54466,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,253385,https://www.airbnb.com/users/show/253385,Douglas,10/5/2010,,1,1,40.80255,-73.95803,Private room,2,,1,$200.00 ,30,60,t,0,0,0,,,,1,
174966,https://www.airbnb.com/rooms/174966,Condo in New York · ★4.96 · 2 bedrooms · 3 beds · 2.5 baths,836168,https://www.airbnb.com/users/show/836168,Henry,7/18/2011,f,14,17,40.7751,-73.98595,Entire home/apt,9,2,3,"$2,500.00 ",30,1125,t,26,0,0,12/29/2011,1/20/2016,4.96,10,0.19
103555,https://www.airbnb.com/rooms/103555,Serviced apartment in Brooklyn · ★4.71 · 2 bedrooms · 2 beds · 2.5 baths,220001,https://www.airbnb.com/users/show/220001,Gordon,9/1/2010,f,1,2,40.693047,-73.971985,Entire home/apt,3,2,2,$375.00 ,1,10,t,282,1,1,5/2/2011,5/17/2023,4.71,1,1.91
105469,https://www.airbnb.com/rooms/105469,Rental unit in Rockaway Beach · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,547386,https://www.airbnb.com/users/show/547386,Michelle,4/30/2011,,2,2,40.58603,-73.8145,Private room,1,,1,$114.00 ,2,90,t,17,0,0,5/8/2011,9/17/2021,4.93,1,0.12
54508,https://www.airbnb.com/rooms/54508,Guest suite in Brooklyn · ★4.75 · 1 bedroom · 1 bed · 2 shared baths,210746,https://www.airbnb.com/users/show/210746,Kathleen R.,8/23/2010,,3,4,40.67908,-73.97405,Private room,2,,1,$96.00 ,2,1125,t,154,28,0,10/14/2010,1/1/2023,4.75,3,1
106363,https://www.airbnb.com/rooms/106363,Rental unit in New York · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,551055,https://www.airbnb.com/users/show/551055,Alicia,5/2/2011,,2,4,40.82772,-73.95284,Private room,1,,1,$91.00 ,5,30,t,461,25,3,5/18/2011,5/28/2023,4.86,1,3.14
106906,https://www.airbnb.com/rooms/106906,Condo in Brooklyn · ★4.90 · 2 bedrooms · 2 beds · 1 bath,553964,https://www.airbnb.com/users/show/553964,Justine,5/3/2011,f,1,2,40.68615,-73.96769,Entire home/apt,2,2,2,$185.00 ,45,60,t,12,0,0,6/26/2011,1/5/2016,4.9,1,0.08
176135,https://www.airbnb.com/rooms/176135,Rental unit in Brooklyn · ★4.68 · 1 bedroom · 1 bed · 1 bath,842125,https://www.airbnb.com/users/show/842125,Jenna,7/19/2011,f,1,1,40.67545,-73.96096,Entire home/apt,2,1,1,$97.00 ,30,40,t,33,0,0,8/21/2011,8/9/2019,4.68,1,0.23
177495,https://www.airbnb.com/rooms/177495,Condo in New York · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,848960,https://www.airbnb.com/users/show/848960,Amit,7/21/2011,f,1,2,40.74088,-73.99538,Entire home/apt,4,2,2,$550.00 ,30,730,t,5,0,0,11/17/2017,6/24/2019,5,1,0.07
54544,https://www.airbnb.com/rooms/54544,Rental unit in New York · ★4.64 · 1 bedroom · 4 beds · 1 bath,256161,https://www.airbnb.com/users/show/256161,Wayne,10/7/2010,,4,12,40.81182,-73.94631,Entire home/apt,5,1,4,$160.00 ,3,30,t,131,9,4,1/2/2011,5/24/2023,4.64,4,0.87
177606,https://www.airbnb.com/rooms/177606,Condo in New York · ★4.78 · 1 bedroom · 1 bed · 1 private bath,849492,https://www.airbnb.com/users/show/849492,Kathrine,7/21/2011,t,1,1,40.74045,-73.9749,Private room,2,1,1,$189.00 ,10,1125,t,124,10,2,9/15/2011,5/22/2023,4.78,1,0.87
179670,https://www.airbnb.com/rooms/179670,Condo in New York · ★4.89 · 1 bedroom · 1 bed · 1 private bath,21475,https://www.airbnb.com/users/show/21475,Milan,6/14/2009,,1,1,40.72113,-73.98213,Private room,1,,1,$175.00 ,3,7,t,128,4,0,9/17/2011,9/11/2022,4.89,1,0.9
